Iteration,Out Of Box,Dislocated(any),Dislocated(position),Dislocated(angle),Front Area,Gross Volume,Net Volume,Deflation Factor,Back area,Front Face Area,Back Face Area,Box overflow,Duration (sec.),Waiting Loops,Duration (tics),Settings ID
7,0,21,4,17,26.86120970950747,67.69024846795882,49.946421052376806,0.7378673026443232,27.293444158718042,19.975938938725267,19.930010896165033,False,74.58043,6,400,2615
8,0,23,3,20,27.212731262138064,68.57608278058792,49.94642105237685,0.7283358720296482,26.897845795018632,20.059359690491295,19.84659014439906,False,57.997873,5,350,2615
9,0,16,4,12,27.051394365806782,68.16951380183309,49.94642105237684,0.7326797312588985,27.030996066850545,20.293419338758,19.612530496132297,False,58.989732,5,350,2615
10,0,20,3,17,27.08402677389132,68.25174747020613,49.94642105237677,0.7317969561758083,27.124717128220837,20.109946714956795,19.79600311993352,False,73.266164,6,400,2615
11,0,22,4,18,26.92716537277841,67.8564567394016,49.946421052376806,0.7360599632278599,27.371200339507155,19.9336653538193,19.972284481071018,False,39.97218,5,350,2615
12,0,33,4,30,26.539475150611622,66.87947737954129,49.946421052376806,0.7468123706907978,27.21734667989519,19.700048198877838,20.205901636012467,False,66.157716,7,450,2615
13,0,11,3,8,27.08007496567784,68.24178891350816,49.94642105237681,0.7319037476535165,27.61240242358406,19.9256420403413,19.980307794549006,False,52.290417,6,400,2615
14,0,19,3,16,27.236633376183484,68.63631610798238,49.946421052376756,0.727696704668682,27.373042402471647,20.15875528382114,19.747194551069192,False,51.475836,6,400,2615
15,0,21,3,18,27.03690266406938,68.13299471345483,49.94642105237674,0.7330724454786569,27.24212233698712,19.859616758337157,20.04633307655316,False,51.710465,6,400,2615
16,0,22,3,19,27.438826589438214,69.14584300538431,49.94642105237679,0.7223344004712984,27.37544892975766,19.94632550097439,19.959624333915933,False,40.473142,5,350,2615
17,0,23,3,20,27.63701090352914,69.64526747689344,49.9464210523768,0.7171545585484007,27.838520042618473,19.842182175746796,20.06376765914355,False,37.872359,5,350,2615
18,0,14,3,11,27.085230666064458,68.25478127848244,49.94642105237682,0.7317644290528641,27.34834120129951,19.96500352593704,19.94094630895327,False,48.564069,6,400,2615
19,0,20,3,17,27.595246147977583,69.5400202929035,49.94642105237684,0.7182399550935108,27.92799902459644,19.91495088638189,19.99099894850846,False,37.165716,5,350,2615
20,0,15,3,12,26.7732712002108,67.46864342453122,49.94642105237682,0.740290874652692,26.754342721589136,19.99854976645135,19.907400068438996,False,51.824985,6,400,2615
1,0,25,3,22,26.46619104611488,66.6948014362095,49.946421052376785,0.7488802721775584,26.835956347590766,19.683411894980765,20.222537939909575,False,173.451234,5,1010,2616
2,0,18,3,15,26.420560834553587,66.57981330307504,49.94642105237677,0.7501736423473864,26.507199051059654,19.926081863312824,19.979867971577516,False,200.903345,5,1010,2616
3,0,25,3,23,26.406016009034005,66.54316034276569,49.94642105237682,0.7505868491232067,26.726184841276147,19.938641165343732,19.967308669546604,False,255.822729,6,1060,2616
4,0,16,3,14,26.58412215077262,66.99198781994701,49.9464210523768,0.7455581283334474,26.54601946566754,19.94158530889902,19.964364525991282,False,264.991945,6,1060,2616
