"settings_id","stem_file","iterations_number","pile_width","pile_height","pile_depth","n_sides","n_meshes","lateral_friction","spinning_friction","rolling_friction","restitution","bend_function","random_turn","drop_algorithm","intended.con"
3432,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.45,0.02,0.1,"double sin",TRUE,"rowwise-freeze",3414
3595,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",FALSE,"grid",3577
3596,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",FALSE,"rowwise",3578
3597,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",FALSE,"rowwise-freeze",3579
3598,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",FALSE,"trapezoid",3580
3599,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",FALSE,"trapezoid-freeze",3581
3600,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",TRUE,"grid",3582
3601,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",TRUE,"rowwise",3583
3602,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",TRUE,"rowwise-freeze",3584
3603,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",TRUE,"trapezoid",3585
3604,"My200-4-2-0.csv",20,12,2,3,10,8,0.45,0.65,0.02,0.1,"double sin",TRUE,"trapezoid-freeze",3586
3605,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",FALSE,"grid",3587
3606,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",FALSE,"rowwise",3588
3607,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",FALSE,"rowwise-freeze",3589
3608,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",FALSE,"trapezoid",3590
3609,"My200-4-2-0.csv",20,12,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",FALSE,"trapezoid-freeze",3591
3610,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",TRUE,"grid",3592
3611,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",TRUE,"rowwise",3593
3612,"My200-4-2-0.csv",20,4,2,3,10,15,0.45,0.65,0.02,0.1,"double sin",TRUE,"rowwise-freeze",3594
3775,"My200-4-2-0.csv",20,4,2,3,10,8,0.45,0.85,0.02,0.1,"double sin",FALSE,"grid",3757
